Counter,Norm,X,Y,Z
0,3.00657,9.69534,8.67199,-2.39215
0,2.91766,9.71657,8.68031,-2.40469
0,3.04104,9.74718,8.69118,-2.4228
0,3.02369,9.76671,8.69726,-2.43439
0,2.96096,9.78566,8.70234,-2.44583
0,3.1437,9.80394,8.70635,-2.45717
0,3.28952,9.82162,8.70941,-2.46836
0,3.11741,9.83868,8.7115,-2.47926
0,3.33591,9.85518,8.71272,-2.48984
0,3.09602,9.87103,8.71319,-2.5002
0,2.92655,9.8863,8.71287,-2.51023
0,3.03754,9.90104,8.71177,-2.5198
0,3.01899,9.91527,8.70981,-2.52885
0,3.19627,9.92896,8.707,-2.53746
0,3.03038,9.94204,8.70347,-2.54573
0,3.1746,9.96054,8.69691,-2.55769
0,3.15603,9.97203,8.69167,-2.56549
0,3.31861,9.98265,8.68581,-2.57318
0,3.0845,9.99252,8.6792,-2.58063
0,3.07992,10.0017,8.67181,-2.58788
0,3.0791,10.0101,8.6637,-2.59493
0,3.23475,10.0179,8.65495,-2.60178
0,3.28085,10.0252,8.64561,-2.60837
0,3.20545,10.0319,8.6357,-2.61465
0,3.34781,10.0379,8.62516,-2.62059
0,3.19652,10.043,8.61397,-2.62618
0,2.99072,10.0474,8.60219,-2.63158
0,3.12944,10.0511,8.58973,-2.63685
0,3.09828,10.0555,8.56989,-2.64499
0,3.09722,10.0576,8.55595,-2.65048
0,3.00559,10.0593,8.54155,-2.65597
0,3.11595,10.0604,8.52658,-2.66157
0,3.23992,10.0606,8.51114,-2.66735
0,3.2742,10.0604,8.49524,-2.67323
0,2.98209,10.0597,8.47887,-2.67893
0,2.75873,10.0586,8.46211,-2.68456
0,3.11983,10.0571,8.44499,-2.69023
0,3.34013,10.0551,8.4275,-2.69592
0,3.1466,10.0529,8.40963,-2.70172
0,3.17014,10.0503,8.39127,-2.70767
0,3.22838,10.0473,8.37264,-2.71385
0,3.2022,10.0421,8.34383,-2.72336
0,3.2765,10.0383,8.32412,-2.72983
0,3.2799,10.0341,8.3041,-2.73648
0,3.27759,10.0296,8.28382,-2.74326
0,3.01578,10.0248,8.26325,-2.75001
0,2.96634,10.0198,8.24243,-2.75666
0,3.07438,10.0145,8.2213,-2.76321
0,3.08013,10.0088,8.19983,-2.76967
0,3.11709,10.003,8.17792,-2.7761
0,3.07279,9.99699,8.1556,-2.78242
0,3.07646,9.99086,8.13289,-2.78871
0,2.97553,9.98464,8.10985,-2.79487
0,3.09567,9.97832,8.08653,-2.80085
0,3.12385,9.96861,8.05102,-2.80956
0,3.00816,9.96199,8.02689,-2.81526
0,2.90581,9.95531,8.00234,-2.82088
0,3.0401,9.94861,7.9775,-2.8264
0,2.89102,9.94187,7.95241,-2.83182
0,3.0993,9.93508,7.92713,-2.83721
0,2.91631,9.9282,7.90156,-2.84269
0,2.95088,9.92124,7.87557,-2.84822
0,3.01113,9.91425,7.8493,-2.85381
0,2.97893,9.90726,7.82268,-2.85945
0,2.82173,9.9003,7.79579,-2.86508
0,2.88649,9.89337,7.76868,-2.87072
0,3.11406,9.88645,7.74137,-2.8764
0,2.87415,9.8761,7.70011,-2.88491
0,2.79994,9.86922,7.67242,-2.89071
0,2.83359,9.86231,7.64465,-2.89659
0,2.78648,9.85536,7.61674,-2.90248
0,2.79412,9.84835,7.58861,-2.90849
0,2.76383,9.84126,7.56025,-2.91453
0,2.81594,9.83406,7.53173,-2.9205
0,2.84367,9.82675,7.50313,-2.92633
0,2.75747,9.81948,7.47446,-2.93189
0,2.79126,9.81222,7.44575,-2.93704
0,2.81308,9.80509,7.417,-2.94192
0,2.84285,9.79803,7.38809,-2.94644
0,2.85158,9.79086,7.35909,-2.95059
0,2.94147,9.77991,7.31542,-2.95627
0,2.9044,9.77245,7.28626,-2.95992
0,2.94802,9.76495,7.25711,-2.96372
0,2.96534,9.7574,7.22799,-2.96765
0,2.82494,9.74987,7.19882,-2.97153
0,2.76413,9.74215,7.16959,-2.97521
0,2.83345,9.73435,7.14026,-2.97876
0,2.73457,9.7264,7.11081,-2.98208
0,2.83034,9.71833,7.08136,-2.98524
0,2.80599,9.71009,7.05206,-2.98841
